Topic,Count,Name,Representation,Representative_Docs
9,40,9_extraction_paths_import_files,"['extraction', 'paths', 'import', 'files', 'api', 'directory', 'public', 'file', 'path', 'write']","[""attributeerror in zip extraction: 'zipinfo' object has no attribute 'name' (introduced in 21760) after pr 21760 (which added safe archive extraction logic), calling extractopenarchive with a zip archive immediately raises anattributeerror: attributeerror: 'zipinfo' object has no attribute 'name' this breaks zip extraction for model loading, weights, and datasets. the error comes from using finfo.name in filtersafezipinfos, while zipinfo only has finfo.filename. expected behavior 1. safe files should extract normally 2.unsafe paths should be skipped with a warning 3.no attributeerror during zip extraction steps to reproduce import io import zipfile from keras.src.utils import fileutils zipbuffer io.bytesio() with zipfile.zipfile(zipbuffer, w ) as zf: zf.writestr( test.txt , sample content ) zipbuffer.seek(0) with zipfile.zipfile(zipbuffer, r ) as archive: fileutils.extractopenarchive(archive, path . extractedtest ) root cause: typo in keras src utils fileutils.py filtersafezipinfos uses finfo.name instead of finfo.filename. fixed code: def filtersafezipinfos(members): basedir resolvepath( . ) for finfo in members: validpath false fix: replace .name with .filename for zipinfo if ispathindir(finfo.filename, basedir): validpath true yield finfo if not valid_path: warnings.warn( skipping invalid path during archive extraction: f ' finfo.filename '. , stacklevel 2, )"", 'doc security consideration: callback file paths accept absolute and traversal paths description while working with keras callbacks (modelcheckpoint, csvlogger, and tensorboard), i observed that file paths provided by the user are used directly without normalization or restriction. for example: absolute paths (e.g., tmp model.keras) are written as-is relative paths with traversal components (e.g., .. .. etc passwd.keras) are also accepted poc observed result expected behavior this behavior is expected in trusted environments. however, it would be helpful if: the documentation clearly states that callback file paths are used without validation guidance is provided for safely handling paths when input may be untrusted actual behavior keras callbacks use the provided file paths directly without any normalization or restriction. absolute paths are accepted and written to directly relative paths with traversal components ( ) are resolved by the operating system and may write files outside the current working directory no warnings or validation are performed on the provided paths as a result, files are created at the specified locations if the process has sufficient permissions. suggested improvement document clearly that callbacks accept user provided paths without restriction. consider offering an optional safe mode or path validation utility for applications that may consume untrusted input. at minimum, warn developers in the docs that paths should be sanitized at the application level.', 'extractarchive leaves incomplete inconsistent directory state when a target file is os-locked summary leaves behind a partially extracted directory when an os-level file lock causes to fail. keras does not perform cleanup because is not included in the exception list. this breaks atomic extraction and can cause corrupted caches, incomplete model directories, and inconsistent behavior especially on windows or nfs filesystems where file locking is common. --- reproduction script observed result the directory remains in an inconsistent state ( locked partial extraction of ). --- expected behavior if extraction fails for any reason, keras should: - remove the extraction directory entirely or - guarantee fully atomic extraction (temp rename) partial extraction should not remain. --- root cause analysis the cleanup logic catches only: but file locking raises: since is not included, the cleanup block is skipped and the directory persists. relevant code (in ): --- suggested fix option a (minimal patch) add : option b (recommended) perform extraction into a temporary directory and atomically rename upon success. --- environment - os: windows 11 (reliable reproduction) - python: 3.13.5 - keras: 3.14.0 --- conclusion this is a correctness robustness bug: extraction failures caused by os-level file locks leave incomplete directories because cleanup is not triggered. a small change to the exception handling or atomic extraction strategy resolves the issue.']"
10,34,10_dataset_coverage_group_block,"['dataset', 'coverage', 'group', 'block', 'datasets', 'code', 'report', 'reproduce', 'help', 'reproduce issue']","['hi - thanks for reporting this issue. currently i am to find the dataset directory to reproduce this issue. if possible can you help me to with your dataset? thanks..!!', 'how to run all test cases and generate a coverage report for keras? hello, i am working with the keras source code and would like to know how to run all the tests in the repository and generate a code coverage report. what is the correct command to execute to achieve this? i am using this command: thank you in advance.', ""feature request: california housing dataset, could the documentation reflect the order of the features? hi there, in the california housing documentation ( one reads: the 8 input features are the following: - : median income in block group - : median house age in block group - : average number of rooms per household - : average number of bedrooms per household - : block group population - : average number of household members - : block group latitude - : block group longitude however, loading the dataset does not yield anyting resembling that order, and it's weirdly difficult to find (the code to reproduce: output: some of those columns don't look quite like what you get ... what is the correct order of the features? and could the list in the documentation reflect that (or even better: maybe the dataset object could have a method returning the features list)? here a colab ( where i compare the two datasets, but sorting out the last three columns is still unsolved. thanks in advance for your help!""]"
11,33,11_layer_layers_rematerialization_apply,"['layer', 'layers', 'rematerialization', 'apply', 'operations', 'class', 'layer names', 'just', 'docstrings', 'supported']","[""i think we can work around it. and i was going to test if it's actually being applied properly with the other backends (or just happens to not be raising an error). i think this is a pretty narrow case, remat around a lambda layer and checking if the lambda wrapped function has training or mask arguments. i can try testing with in the layer (as opposed to ), swapping the remat test to use a custom subclassed layer, or something else. any thoughts on this?"", '-kumari1 thanks for your response. - : apply rematerialization globally to all supported operations. what are the supported operations here? - : apply rematerialization to a specific list of layer names. in the gist you attached, you passed simply as mode but never specified any target layers, why and how the code works?', 'hi - full : apply rematerialization globally to all supported operations. what are the supported operations here? the documentation and source code does not seem to mention the supported operations. listoflayers : apply rematerialization to a specific list of layer names. in the gist you attached, you passed simply listoflayers as mode but never specified any target layers, why and how the code works? in my previous gist, i have not specified any layers for as mode, so it is likely not applying rematerialization to any layers. i am attaching an updated gist ( where i have used as mode and passed the layer names in like this:']"
12,30,12_nan_loss_training_values,"['nan', 'loss', 'training', 'values', 'associated', 'commit', 'aggregation', 'metrics', 'sum', 'optimizer']","[""1s step - iou: nan - loss: 0.0234 according to your logs you don't have a nan loss! you have a nan metric (iou). this is entirely harmless. you can just reset the metric or something."", ""do you guys have any thoughts as to why this commit would cause a nan loss? thoughts: isn't used here, so the there would not have any impact. metrics use , but they cannot interact with the loss or the weights to cause a nan loss. this only leaves on the base optimizer having and int type. note that it could likely be switched to . since there is no reproducible script for debugging, this is a random guess: before the aggregation behavior might have been broken due to incorrect propagation of the aggregation attr to the variables. essentially, the training would be an setting (the default value for ), which is likely incorrect. -apratim could you first try training the model without using to check if any nans occur? if the training runs without issues, try adding back and modifying in as follows: this adjustment reflects the behavior in keras 3.6. see if the training runs well with this change. if it does, incrementally restore the original mapping to identify which key is causing the issue. here's a general guideline: - sum is associated with metrics. - mean is associated with model optimizer weights. - onlyfirst_replica is associated with counters. please report back your findings so we can pinpoint the root cause."", 'produce non-nan results for nan inputs with openvino backend description with is nan and backend, still returns non-nan results though it should be (the results are nan with other backend and ). please use this example to replicate the problem: environment - keras: 3.13.1 - python: 3.11 - os: macos']"
13,29,13_work issue_assign_work_hi work,"['work issue', 'assign', 'work', 'hi work', 'pick', 'interested', 'issue', 'thank hi', 'like work', 'available']","['hi, can i work on this issue?', 'hi, can i work on this issue? if available, please assign to me. thank you.', 'hi, can i work on this issue? if available, please assign to me. thank you.']"
14,28,14_plot_plotting_efficientnetv2_connections,"['plot', 'plotting', 'efficientnetv2', 'connections', 'purely', 'colab', 'lines', 'response', 'error', 'pydot']","[""does not show u-shape plot for a unet issue type bug have you reproduced the bug with tensorflow nightly? no source binary tensorflow version 2.20.0 custom code yes os platform and distribution ubuntu 25.04 mobile device no response python version 3.13.3 bazel version no response gcc compiler version no response cuda cudnn version no response gpu model and memory no response current behavior? plotting a unet vertically works perfectly but the image is too long to fit in a canocical wide-screen monitor. plotting it horizontally makes more sense and is easier to view the correspoding skip connections. however, it doesn't work at all. the plot (saved) is empty. standalone code to reproduce the issue"", ""i don't think the works well. enclosed is the plot with . how far should it go to have a decent plot?"", ""hi , thanks for your attention. i have tried setting the dpi to 100, 50 (200 by default). but the errors are the same. so i checked the error messages and found that there are some syntax error, for example: after tracing back to the source, i found that this error is due to the way the , and handle the name of subgraph: the latter two packages do not quote the name of subgraph, which causes the error. considering that has been archived on nov 20, 2018 and the last commit of was on dec 9, 2014, i think it is better to use as the default package for plotting the model. also, i have tested the following cases, 'cause i highly doubt that the error is due to a bug of name colab: default colab: pydot colab: conda pydot local: conda pydot -------------------- -------------- ------------ -------------------- -------------------- xception efficientnetb0 efficientnetb1 efficientnetb2 efficientnetb3 efficientnetb4 efficientnetb5 efficientnetb6 efficientnetb7 efficientnetv2-b0 efficientnetv2-b1 efficientnetv2-b2 efficientnetv2-b3 efficientnetv2-s efficientnetv2-m efficientnetv2-l convnexttiny convnextsmall convnextbase convnextlarge convnextxlarge vgg16 vgg19 resnet50 resnet101 resnet152 resnet50v2 resnet101v2 resnet152v2 mobilenet1.00224 mobilenetv21.00224 mobilenetv3small mobilenetv3large densenet121 densenet169 densenet201 nasnet nasnet inceptionv3 inceptionresnetv2 the colab lines for the first three columns are as follows: 1. 2. 3. you can see that using as the default package for plotting the model can solve parts of the problem. and the (2.50.0 (0)) (2.43.0 (0) by default) installed by conda can also solve some of the problems. but it not always works. even i got different results on my local test environment (ubuntu 22.04 docker image). the existing errors are here: 1. dot: maze.c:313: chksgraph: assertion np- cells 1 ' failed. ( the problem is with floating point comparison. -- from costa shulyupin 2. generating a graph with ortho splines fails with trapezoid-table overflow ( the ortho library estimated the number of trapezoid structures it would need upfront based on the number of segments it was operating on. this estimation was wrong. some inputs could exceed the estimation, at which point graphviz would abort with an error message. -- from the commit 8f605841 ( however, i could still reproduce these errors on my local environment. so i think the errors shown in the colab by calling are due to the bug of , which are the same as the ones in the closed issues.""]"
15,28,15_bar_progress bar_progress_metric,"['bar', 'progress bar', 'progress', 'metric', 'values', 'final', 'metrics', 'epoch', 'auc', 'batches']","[""values in 's progress bar do not match final output for certain metrics (e.g. auc) comuted in , the values shown in the progress bar are misleading, and the final state in the progress bar does not reflect the actual metric value. here's a code sample that reproduces the issue, tested in using torch backend (but the behavior is the same across backends). the output of this code is below. note the specific values are rng dependent, but the point still stands. which shows that the final auc computed using both and manually, but the auc value shown in the progress bar is different. in some cases the differences are quite large."", 'evaluate() shows incorrect metric values in progress bar vs returned results when using model.evaluate(), the metric values displayed in the progress bar differ from the values returned by the method. there appears to be double averaging happening - the batch values are already averaged, but the progress bar shows an additional average of these averages. code to reproduce: code to reproduce: output: expected behavior: the metric values shown in the progress bar should match the final returned results (or at least be clearly documented if this difference is intentional). issue: progress bar shows loss: 17.8182, mae: 3.4545 returned values show loss: 38.5, mae: 5.5 the correct values should be the returned ones (38.5 and 5.5 respectively), as these match manual calculations the progress bar seems to be averaging already-averaged batch values environment: tensorflow 2.19 additional notes: this discrepancy can be confusing for users who rely on the progress bar metrics during evaluation.', ""that metric in the progress bar is a training metric, computed on the training data. there are n different reasons a training metric might turn out different from the metric you see in a call to (e.g. the state of the model changes at each step, and training behavior might be different from inference behavior). afaik, just takes one dataset so it doesn't distinguish between train test val. i understand the progress bar i see during reflects the changing state of the model, however the model weights should be frozen during , and the model should be in inference mode. so based on what you said i don't see why the metrics in 's progress bar shouldn't converge to the final metric. actually the metric values shown in the progress bar are mean values, i.e. mean auc of 32 steps. if this is true, and the progress bar shows a running average of the metric computed over batches, then it is understandable the answers are different. however i still think it's misleading and a better choice would be to show the result of the metric after incorporating each batch. (i.e. the progress bar should show )""]"
16,27,16_triage_team__,"['triage', 'team', '', '', '', '', '', '', '', '']","['-team triage', '-team triage', '-team triage']"
17,23,17_backend_backends_year_backend work,"['backend', 'backends', 'year', 'backend work', 'backend backend', 'html', 'guide', 'web', 'work', 'depend']","[""i'm in the third year of computer science and engineering, so we already had to use js and html for some projects, and i already have some knowledge of web development from some side projects i have done and am currently doing. i will also be doing this with -curto, who is in the same year and university as i am. i also agree that this tool would be better with an interface so i'll be glad to do it if you agree."", ""thank you and , if you don't mind a minor request: it'd be great to have some guide document on best practices for multi-backend support. (i did read the migration guide, may have to check again but don't remember any advice of the sort you just gave.) it'd be great to add the button to all examples in the docs (using clipboard api form the browser, i think.)"", 'note the available backends in docstring of doc issue the doc of shows its description as below: for the repro below, i know that the default backend is , but what backend can be served as other ? i tried but failed. if there are some other backends available to use, i suggest to note some examples of them in the docstring above. thanks a lot! repro output']"
18,22,18_updates_update_update issue_issue,"['updates', 'update', 'update issue', 'issue', 'issue current', 'traction', 'current status', 'issue happening', 'hi does', 'does issue']","['could you please provide any update on this issue?', 'is there any update on this issue?', 'any update on the issue ?']"
19,21,19_seed_random_deterministic_seeds,"['seed', 'random', 'deterministic', 'seeds', 'documentation', 'behavior', 'generator', 'mode', 'random seed', 'set']","['potential error in documentation of keras.random.uniform. in the documentation of keras.ranom.uniform i find seed: a python integer or instance of . used to make the behavior of the initializer deterministic. note that an initializer seeded with an integer or none (unseeded) will produce the same random values across multiple calls. to get different random values across multiple calls, use as seed an instance of . for me this implies that which however is not the case. see the colab , seed none) produces a sequence of random numbers. on the other hand really creates the same number for all calls in keras but not in tensorflow, which is what i was expecting from the documentation. am i misunderstanding this or is the documentation about wrong?', 'keras.utils.setrandomseed does not set seeds os: windows 11 python 3.11.0 64 bit keras 3.0.5 ---- keras.utils.setrandomseed() does not set the reproducibility for (at least) numpy operations. import numpy as np import keras seed 0 keras.utils.setrandomseed(seed seed) randomnumbergenerator np.random.defaultrng() gamma randomnumbergenerator.gamma(shape 2, size (100, 1)) multiple runs will produce different random values. with randomnumbergenerator np.random.defaultrng(seed seed) multiple runs will produce same random values.', 'feature add deterministic training mode in keras description currently, achieving reproducible training results in keras is non-trivial, even when explicitly setting random seeds. in practice, identical seeds, data, and model configurations can still produce significantly different outputs. there is no unified, high-level way in keras to enforce deterministic behavior across: - layer initialization - optimizer updates - backend operations --- rationale reproducibility is essential for: - scientific experiments - debugging workflows - model comparison and validation - production reliability at present, users must manually configure backend-specific settings, and deterministic behavior is not consistently guaranteed. --- proposed feature introduce a simple, high-level api: this would: - enforce deterministic backend behavior where possible - configure random seeds consistently across components - disable or warn about nondeterministic operations - provide a unified and user-friendly reproducibility mode --- proof of concept the following example demonstrates non-deterministic behavior despite fixed seeds: --- observed behavior --- expected behavior with deterministic mode enabled: expected output: --- impact - improves reproducibility across training runs - simplifies debugging and experimentation - aligns with expectations in research and production environments - reduces hidden nondeterministic behavior --- additional notes tensorflow provides partial support for deterministic execution, but this is not exposed through a simple, unified keras api. a keras-level abstraction would significantly improve usability and reliability.']"
20,20,20_reported behavior_behavior thanks_reported_replicate reported,"['reported behavior', 'behavior thanks', 'reported', 'replicate reported', 'replicate', 'sample reproducible', 'code replicate', 'reproducible code', 'reproducible', 'provide sample']","['could you please provide some sample reproducible code to replicate the reported behavior. thanks', 'could you please provide sample reproducible code to replicate the reported behavior. thanks', 'could you please provide the sample reproducible code to replicate the reported behavior. thanks']"
21,20,21_dict_list_structure_dicts,"['dict', 'list', 'structure', 'dicts', 'list object', 'nested', 'object', 'tuple', 'structures', 'object attribute']","[""attributeerror raised: 'list' object has no attribute 'dtype' when running the official example of sparsecategoricalaccuracy, topkcategoricalaccuracy, sparsetopkcategoricalaccuracy hi developers. when i follow the example ( of , an attributeerror is raised. here's the code:"", ""attributeerror: 'list' object has no attribute 'dtype'"", 'hi - thanks for raising this issue. we have raised an internal fix for this issue. soon it will be reflected in the documentation as well. this fix is working fine for nested structure(i.e dict,list,tuple). example:']"
22,19,22_deserialization_custom_objects_serialization,"['deserialization', 'custom', 'objects', 'serialization', 'class', 'serialized', 'registeredname', 'explicitly', 'classname', 'configuration']","['bug deserializekerasobject accepts callable objects in config without validation description accepts callable objects ( functions or lambdas) in configuration fields without validation. these callables are stored and later invoked during layer execution (e.g., during ), which can lead to unexpected runtime behavior. reproduction script build ) no error is raised during deserialization expected behavior configuration should be restricted to serializable and validated types callable objects should be rejected or explicitly handled deserialization should not allow arbitrary callables in config notes keras emits a warning when serializing lambda functions, but during deserialization callable objects are still accepted and executed. this may lead to unexpected or unsafe behavior if configuration input is not fully trusted.', 'hi , from the error log it seems you have a custom loss function which is not serialized. custom loss functions or classes have to be serialized explicitly by registering the class function with decorator. for custom classes you might need additional work to implement and or methods explicitly. please refer to the attached guide ( for more details on custom objects.', ""thank you for the clarification. on tue, mar 19, 2024 at 12:17 pm surya . wrote: hi from the error log it seems you have a custom loss function 'mse' which is not serialized. custom loss functions or classes have to be serialized explicitly by registering the class function with .saving.registerkerasserializable() decorator. for custom classes you might need additional work to implement getconfig and or fromconfig methods explicitly. please refer to the attached guide custom objects. reply to this email directly, view it on github or unsubscribe . you are receiving this because you were mentioned.message id: .""]"
23,18,23_crop_center_image_resize,"['crop', 'center', 'image', 'resize', 'inference', 'size', 'original', '1000', 'random crop', 'cropping']","[""one more thing to add, sometimes you may need to resize the validation instead of center crop. although center crop is more common it may still be beneficial to allow resizing of validation images maybe through an argument that can accept either: 'resize' or 'centercrop' with a default of centercrop what do you think?"", 'randomcrop does nothing at validation inference the randomcrop layer does absolutely nothing during validation. this is due to the if condition placed here: this looks pretty odd as the validation split will have different shape from the training data. the logic seemed to be it should do center crop for as it is calculated here: example of training with 512x512 images but doing random crop to 256x512 confirms this as it raises this error as soon as the epoch finishes. please confirm if this is an intended behaviour that you must place a center crop layer with the same crop size just after it to maintain the pipeline?', ""i'm somewhat inclined to leave the behavior as is, as i don't see an obvious always right solution for what to do at inference time. you might want to... 1. run inference at the full image size despite training at a smaller size, for models that don't have a fixed input size requirement (most convnets). e.g. resnet models are frequently tested with images at a slightly larger scale ( than training. 2. resize the model to the target size without cropping for inference (with any of the arguments to the resizing layer). 3. center crop the image. i'd actually suspect that most users would probably want here, since throwing away image during training can make sense to augment and stretch your data, but will almost always result in loss of quality at inference time vs a resizing op that does not throw out portions of the image. so it's probably better to ask users to be explicit here. either only apply the during training, and apply or during inference. or if you really want to use the same preprocessing pipeline at training and inference, simply chain the into a or layer (where the latter will be a no-op during training, since images will already be the target size, and only specifies the inference behavior). does that make sense ? if the center cropping during inference was going to be the right thing for 95 of users i'd be onboard with your proposal, but i don't think that's the case here. most users should resize at inference. i think it would be very reasonable to add a flag to all the random layers (so they still do there thing at inference time). but a random crop should be a random crop always if it's appled. and use center crop if you want a center crop.""]"
24,17,24_variance_mean_gh_normalization,"['variance', 'mean', 'gh', 'normalization', 'mean variance', 'axis', 'reshape', 'broadcast', 'shape', 'cases']","[""normalization layer fails to broadcast scalar mean and variance normalization layer errors out for scalar mean and variance arguments. the documentation states that these arguments will be broadcast to the necessary size and the examples include scalars, but instead the source code seems to only reshape them (see here ( i'm using python 3.12.1 and keras 3.6.0."", 'keras.layers.normalization crashes with multi-dim mean and variance crash with valid multi-dim mean and variance please use this example to replicate the problem: error message: i believe we can reshape the tensor of 2, 4 to tensor of shape 1,2,1,4 given 2x4 1x2x1x4. in keras 3.7.0, keras.layers.normalization worked well with these inputs. however, from keras 3.8.0, this error happens. i found that this may be a regression introduced in gh-20626. i think we can just seperate two cases, one for float, i.e., the case of gh-20626 where we will use and one for matrices where we use same as previous implementation. if this approach make senses to you, i can make a pr.', 'hi and maintainers thanks for the quick investigation and for pointing to gh-20626. i m happy to take this on and open a pr. summary of proposed fix root cause the change introduced in gh-20626 uses tf.broadcastto when preparing mean variance for the normalization layer. this fails in cases where mean variance are provided as lower-rank numeric arrays intended to be reshaped (not strictly broadcasted) into the specified axes. in these cases, tf.broadcastto raises an invalidargumenterror when it cannot match the target shape, even though an equivalent reshape would be valid. this worked correctly prior to 3.8. proposal restore the previous behavior for the matrix-like stats case, while preserving the improvements from gh-20626, by distinguishing between two scenarios: reshape case (restore pre-3.8 behavior) when mean variance are provided as multi-dimensional arrays whose total number of elements matches the product of the target axis sizes, and whose rank matches len(axis), treat them as values laid out to fill those axes and reshape them into the expanded axes shape. broadcast case (keep gh-20626 behavior) for scalars, per-axis 1-d values, or cases that genuinely require broadcasting, continue to use tf.broadcastto as introduced in gh-20626. this keeps the new behavior for stateless broadcastable cases while reintroducing reshape semantics for matrix-shaped statistics that previously worked. patch outline (high level) in the normalization layer code path that prepares mean variance: convert stats to tensors. compute the target broadcast shape from the input shape and axis. check whether: stat.ndim len(axis), and numelements(stat) productoftargetaxessizes if so, reshape the stats into the expanded shape (1s in non-axis dims). otherwise, fall back to tf.broadcastto as in gh-20626. add comments explaining the two branches and reference gh-20626. example branching logic (pseudo-code) stat tf.converttotensor(stat) inputshape tf.shape(inputs) dynamic rank tf.rank(inputs) build target broadcast shape: 1, ..., sizeonaxisi, ..., 1 targetshape 1 rank for i, ax in enumerate(axis): targetshape ax inputshape ax statnumel tf.size(stat) axesproduct tf.reduceprod( targetshape ax for ax in axis ) reshape vs broadcast if (tf.shape(stat).ndims len(axis)) and tf.equal(statnumel, axesproduct): reshapeshape 1 rank for i, ax in enumerate(axis): reshapeshape ax tf.shape(stat) i stat tf.reshape(stat, reshapeshape) else: stat tf.broadcastto(stat, target_shape) tests to add regression test reproducing the reported issue: input shape (none, 2, 3, 4) axis (1, 3) mean variance shape (2, 4) ensure forward pass succeeds and output shape matches input. additional coverage: scalar mean variance 1-d per-axis stats (broadcast path) dynamic input shape case (tf.shape(inputs)) reference gh-20626 in test comments. compatibility considerations restores pre-3.8 behavior for matrix-shaped statistics. preserves gh-20626 improvements for broadcast-only cases. should be backward-compatible and safe for dynamic shapes. if maintainers prefer a different heuristic (e.g., stricter shape checks or limiting reshape to non-scalar stats), i m happy to adapt. next steps i can draft and open a pr with: the fix unit tests a short regression note referencing gh-20626 please let me know if you prefer a specific branch, style, or implementation detail. thanks!']"
25,17,25_model_callback_backupandrestore_training,"['model', 'callback', 'backupandrestore', 'training', 'optimizer', 'resume', 'build', 'restart', 'restore', 'callbacks']","['the backup callback only saves no optimizer state information are stored. consider this case: you train a model with epoch 50. you use warmup learninge rate and various scheduler setup. you also use backup callback. now, your training interrupted at epoch 27. now, you restarted the environment - then import modules, build model and compile again. can the previous backup resume training from epoch 27 with last check optimizer state? if you say, with this backup, internally the keras will compute last check optimizer state and resume training, can we verify this.', ""how would we ensure the optimizer state load properly? isn't .h5 only store model param? what about .keras format. does it hold only model pram or optimizer param both? what about keras.callbacks.backupandrestore ( - see this ( to ensure the ability to recover from an interrupted training run at any time (fault tolerance), you should use a . import numpy as np import keras class interruptingcallback(keras.callbacks.callback): a callback to intentionally introduce interruption to training. def onepochend(self, epoch, log none): if epoch 15: raise runtimeerror('interruption') model keras.sequential( keras.layers.dense(10) ) optimizer keras.optimizers.sgd() model.compile(optimizer, loss mse ) x np.random.random((24, 10)) y np.random.random((24,)) backupcallback keras.callbacks.experimental.backupandrestore( backupdir ' tmp backup') try: model.fit(x, y, epochs 20, stepsperepoch 5, callbacks backupcallback, interruptingcallback() ) except runtimeerror: print('handling interruption') this continues at the epoch where it left off. model.fit(x, y, epochs 20, stepsperepoch 5, callbacks backupcallback )"", ""yes - in the case computer crash kernel restart need to build model again after interruption because model configuration(weights,optimizer..) are lost. so for that case need to rebuild the model. if model architecture and nodel configuration doesn't change then no need to reinstantiated after interruption i see a conflict of my understanding here. once training proceeds as per the model data at 'backup_dir'. unless this directory lost it is expected to restore the model state and resume training again right? for even kernel restart or crash this is expected to save model's latest state and restore it again once training resume back.""]"
26,16,26_hey_work_implementation_use case,"['hey', 'work', 'implementation', 'use case', 'like', 'use', 'environment like', 'love help', 'colab test', 'maybe help']","[', please let us know your specific use case and whether it can be solved by add a to your implementation. thanks', ""hey, are you still on this implementation? otherwise, i'd love to help you with this feature as a contributor. may i pick this up?"", '-jin the use case is invertible networks. my current work-around is not to expose and directly, but to use protected methods: adding a might work, but i do not think this is a sound solution.']"
